Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.0164,Doja Cat,0.828,0.621,0.00233,0.0845,0.0845,8,128.986,You Right,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,0.436,60f7907ba24480877399e28d
0.0112,BTS,0.746,0.765,0,0.0936,0.0936,6,114.044,Dynamite,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,0.737,60f7907ba24480877399e28e
0.163,Sebastian Yatra,0.715,0.622,0,0.0948,0.0948,4,80.015,Pareja Del Año,https://api.spotify.com/v1/tracks/2rCbl9naJYhaxjLsfx88uM,0.808,60f7907ca24480877399e28f
0.198,Olivia Rodrigo,0.695,0.575,0,0.0614,0.0614,10,163.929,"jealousy, jealousy",https://api.spotify.com/v1/tracks/0MMyJUC3WNnFS1lit5pTjk,0.699,60f7907ca24480877399e290
0.122,Harry Styles,0.548,0.816,0,0.335,0.335,0,95.39,Watermelon Sugar,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,0.557,60f7907ca24480877399e291
0.41,Polo G,0.789,0.536,0,0.129,0.129,6,81.039,RAPSTAR,https://api.spotify.com/v1/tracks/18vXApRmJSgQ6wG2ll9AOg,0.437,60f7907ca24480877399e292
0.329,Billie Eilish,0.765,0.373,0.541,0.112,0.112,8,85.015,NDA,https://api.spotify.com/v1/tracks/6uqyE384HDSsuwpoF4mjrL,0.59,60f7907ca24480877399e293
0.401,Bad Bunny,0.731,0.573,0.0000522,0.113,0.113,4,109.928,DÁKITI,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,0.145,60f7907da24480877399e294
0.0913,Bizarrap,0.627,0.849,0,0.145,0.145,1,89.907,"Nicky Jam: Bzrp Music Sessions, Vol. 41",https://api.spotify.com/v1/tracks/03LfOYi0icz4souspZVVhq,0.818,60f7907da24480877399e295
0.102,J Balvin,0.813,0.809,0.00000137,0.377,0.377,3,93.005,Poblado - Remix,https://api.spotify.com/v1/tracks/1WedZeiezCmCEOzLwhx0hV,0.646,60f7907da24480877399e296
0.414,Tiësto,0.798,0.62,0.0192,0.112,0.112,8,120.031,The Business,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,0.235,60f7907da24480877399e297
0.217,Bella Poarch,0.855,0.463,0.0000177,0.347,0.347,3,102.931,Build a Bitch,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,0.866,60f7907da24480877399e298
0.161,TINI,0.85,0.541,0.00000501,0.286,0.286,2,92.003,Miénteme,https://api.spotify.com/v1/tracks/0cOa970mzTWAxKtltpkpLc,0.916,60f7907da24480877399e299
0.174,24kGoldn,0.701,0.716,0,0.324,0.324,7,91.007,Mood (feat. iann dior),https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,0.732,60f7907ea24480877399e29a
0.398,Wisin,0.839,0.711,0.00000202,0.118,0.118,6,97.99,Fiel - Remix,https://api.spotify.com/v1/tracks/43qcs9NpJhDxtG91zxFkj7,0.573,60f7907ea24480877399e29b
0.216,Galantis,0.595,0.784,0,0.0608,0.0608,1,124.111,Heartbreak Anthem (with David Guetta & Little Mix),https://api.spotify.com/v1/tracks/5K6Ssv4Z3zRvxt0P6EKUAP,0.479,60f7907ea24480877399e29c
0.0311,Olivia Rodrigo,0.672,0.526,0.00000137,0.28,0.28,4,123.999,brutal,https://api.spotify.com/v1/tracks/6SRsiMl7w1USE4mFqrOhHC,0.28,60f7907ea24480877399e29d
0.00776,Farruko,0.762,0.766,0.0000698,0.128,0.128,7,130.001,Pepas,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,0.442,60f7907ea24480877399e29e
0.00364,Majestic,0.758,0.913,0.0000692,0.193,0.193,6,128.04,Rasputin,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,0.658,60f7907fa24480877399e29f
0.0000384,Surf Curse,0.345,0.941,0.633,0.0511,0.0511,9,179.626,Freaks,https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr,0.407,60f7907fa24480877399e2a0
