Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.185,Trippie Redd,0.437,0.527,0,0.153,0.153,6,187.815,Holy Smokes,https://api.spotify.com/v1/tracks/3EpF150nXMSNjiH0bbmXIL,0.701,60fa03e95b7a4bb77929fffb
0.175,Masked Wolf,0.778,0.695,0,0.15,0.15,4,149.996,Astronaut In The Ocean,https://api.spotify.com/v1/tracks/0BGwAKW4u8kWOhWFflZxfl,0.472,60fa03ea5b7a4bb77929fffc
0.0215,The Weeknd,0.65,0.825,0.0000244,0.0936,0.0936,0,118.091,Save Your Tears (with Ariana Grande) (Remix),https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,0.593,60fa03ea5b7a4bb77929fffd
0.182,Bruno Mars,0.586,0.616,0,0.0927,0.0927,5,148.088,Leave The Door Open,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,0.719,60fa03ea5b7a4bb77929fffe
0.00323,BTS,0.759,0.459,0,0.0906,0.0906,8,109.997,Butter,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,0.695,60fa03ea5b7a4bb77929ffff
0.161,DaBaby,0.902,0.669,0,0.0728,0.0728,1,139.949,Ball If I Want To,https://api.spotify.com/v1/tracks/0cu0rhnlCnJ7JIeHRiLpj3,0.628,60fa03ea5b7a4bb7792a0000
0.114,Walker Hayes,0.649,0.76,0,0.317,0.317,1,80.018,Fancy Like,https://api.spotify.com/v1/tracks/3ZozFqJJlDBNIm4xqxn2ZD,0.843,60fa03eb5b7a4bb7792a0001
0.129,DaBaby,0.933,0.656,0,0.161,0.161,2,119.987,Red Light Green Light,https://api.spotify.com/v1/tracks/1YDebgap5OFwXEBG18NJvy,0.934,60fa03eb5b7a4bb7792a0002
0.526,Pop Smoke,0.716,0.67,0,0.13,0.13,0,145.043,Bout A Million (feat. 42 Dugg & 21 Savage),https://api.spotify.com/v1/tracks/4LaGu95Ui2s4vprSQYWUAZ,0.411,60fa03eb5b7a4bb7792a0003
0.269,"Tyler, The Creator",0.493,0.653,0,0.511,0.511,0,142.347,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),https://api.spotify.com/v1/tracks/5B0kgjHULYJhAQkK5XsMoC,0.852,60fa03eb5b7a4bb7792a0004
