Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.407,Grupo Firme,0.626,0.503,0,0.234,0.234,10,72.985,El Tóxico,https://api.spotify.com/v1/tracks/7E9GeFGfjXw9LAI4ay6rsw,0.821,60fa0614214825fec63ff987
0.399,Nio Garcia,0.83,0.517,0.0000895,0.0916,0.0916,6,171.959,AM,https://api.spotify.com/v1/tracks/2dNhNlpZAtV4lwAFW45LIv,0.616,60fa0615214825fec63ff988
0.305,Natti Natasha,0.908,0.813,0,0.278,0.278,5,97.018,Ram Pam Pam,https://api.spotify.com/v1/tracks/4DHDIdeayp8xvlyg22wREO,0.924,60fa0615214825fec63ff989
0.165,Sech,0.816,0.71,0,0.292,0.292,7,93.02,911 - Remix,https://api.spotify.com/v1/tracks/27RSJHEA99Y0Vsow7nA37A,0.784,60fa0615214825fec63ff98a
0.237,Bad Bunny,0.592,0.494,0,0.13,0.13,4,132.037,De Museo,https://api.spotify.com/v1/tracks/267NGliXM8YLVZiKAD9Otm,0.231,60fa0615214825fec63ff98b
0.025,J Balvin,0.915,0.72,0.0000142,0.0942,0.0942,8,126.986,In Da Getto,https://api.spotify.com/v1/tracks/63aj87TQG6F3RVO5nbG2VQ,0.631,60fa0615214825fec63ff98c
0.00323,BTS,0.759,0.459,0,0.0906,0.0906,8,109.997,Butter,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,0.695,60fa0615214825fec63ff98d
0.392,Pablo Alborán,0.278,0.572,0,0.063,0.063,7,95.351,Saturno,https://api.spotify.com/v1/tracks/2f0Ft2XdvNSMSY5TUlZgEz,0.311,60fa0616214825fec63ff98e
0.282,Christian Nodal,0.638,0.437,0,0.0894,0.0894,4,147.88,Aquí Abajo,https://api.spotify.com/v1/tracks/16ONd70tvWAaLIc6hcLzaG,0.618,60fa0616214825fec63ff98f
0.204,KAROL G,0.864,0.658,0.000626,0.105,0.105,1,163.922,BICHOTA,https://api.spotify.com/v1/tracks/1WvrDdouh6C51In1SdATbq,0.865,60fa0616214825fec63ff990
0.0215,The Weeknd,0.65,0.825,0.0000244,0.0936,0.0936,0,118.091,Save Your Tears (with Ariana Grande) (Remix),https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,0.593,60fa0616214825fec63ff991
0.0913,Bizarrap,0.627,0.849,0,0.145,0.145,1,89.907,"Nicky Jam: Bzrp Music Sessions, Vol. 41",https://api.spotify.com/v1/tracks/03LfOYi0icz4souspZVVhq,0.818,60fa0616214825fec63ff992
0.784,Lenin Ramírez,0.643,0.35,0,0.102,0.102,4,118.199,Yo Ya No Vuelvo Contigo - En Vivo,https://api.spotify.com/v1/tracks/1s59X35jDULAyOGmBuTAnd,0.541,60fa0616214825fec63ff993
0.697,El Fantasma,0.547,0.638,0,0.074,0.074,8,176.277,Cabrón y Vago - En Vivo,https://api.spotify.com/v1/tracks/4nbWX2HzrOEnX4xxvYRCyU,0.876,60fa0617214825fec63ff994
0.741,Santa Fe Klan,0.678,0.457,0,0.113,0.113,0,72.156,Debo Entender,https://api.spotify.com/v1/tracks/55mzJ0LftLnef8sxAjrMkU,0.563,60fa0617214825fec63ff995
0.00883,Dua Lipa,0.702,0.825,0,0.0674,0.0674,6,102.977,Levitating (feat. DaBaby),https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,0.915,60fa0617214825fec63ff996
0.757,Rauw Alejandro,0.699,0.612,0,0.161,0.161,11,100.005,Algo Mágico,https://api.spotify.com/v1/tracks/7D93pJcwymzaZx8WgBo2zG,0.591,60fa0617214825fec63ff997
0.946,Ed Maverick,0.83,0.159,0.0000202,0.362,0.362,1,104.95,Fuentes de Ortiz,https://api.spotify.com/v1/tracks/0akyEssGRVHstqCSWXusJL,0.189,60fa0617214825fec63ff998
0.175,Piso 21,0.82,0.804,0.00215,0.064,0.064,9,110.982,Tan Bonita,https://api.spotify.com/v1/tracks/6mm3K0yWp6uzfOMuipM9Zh,0.844,60fa0617214825fec63ff999
0.00146,The Weeknd,0.514,0.73,0.0000954,0.0897,0.0897,1,171.005,Blinding Lights,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,0.334,60fa0618214825fec63ff99a
0.277,Banda MS de Sergio Lizárraga,0.832,0.525,0.0000177,0.142,0.142,10,112.479,La Casita,https://api.spotify.com/v1/tracks/0vtYnEw1eJwW26BrBnOAYJ,0.967,60fa0618214825fec63ff99b
0.734,Santa Fe Klan,0.611,0.66,0,0.0636,0.0636,4,137.668,Todo Va a Estar Bien,https://api.spotify.com/v1/tracks/3XjRIN9vEt35lm1iStPcgq,0.582,60fa0618214825fec63ff99c
0.297,Lil Nas X,0.61,0.508,0,0.384,0.384,8,178.818,MONTERO (Call Me By Your Name),https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,0.758,60fa0618214825fec63ff99d
0.152,J Balvin,0.754,0.646,0.0000185,0.108,0.108,7,176.089,LA CANCIÓN,https://api.spotify.com/v1/tracks/0fea68AdmYNygeTGI4RC18,0.429,60fa0618214825fec63ff99e
0.363,Junior H,0.478,0.732,0.00000334,0.0768,0.0768,4,184.819,Ella,https://api.spotify.com/v1/tracks/0tKl8ZVM6xJkhznvJAS3Nq,0.664,60fa0618214825fec63ff99f
0.171,Grupo Firme,0.578,0.801,0,0.651,0.651,8,114.12,Gracias - En Vivo,https://api.spotify.com/v1/tracks/2XlGKZNMkRKvEJsbwQ6MCl,0.706,60fa0619214825fec63ff9a0
0.29,Lupillo Rivera,0.813,0.875,0,0.0292,0.0292,7,90.049,Grandes Ligas,https://api.spotify.com/v1/tracks/06IceO7e9isF3nX3y7dOTe,0.74,60fa0619214825fec63ff9a1
0.00612,Kidd Keo,0.936,0.825,0.0017,0.0703,0.0703,1,123.991,Ma Vie (feat. Yay),https://api.spotify.com/v1/tracks/6UU24wuWgGwuSBAxDH866Z,0.843,60fa0619214825fec63ff9a2
0.182,Bruno Mars,0.586,0.616,0,0.0927,0.0927,5,148.088,Leave The Door Open,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,0.719,60fa0619214825fec63ff9a3
0.321,Justin Bieber,0.677,0.696,0,0.42,0.42,0,90.03,Peaches (feat. Daniel Caesar & Giveon),https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,0.464,60fa0619214825fec63ff9a4
0.234,Bad Bunny,0.811,0.637,0.000572,0.118,0.118,10,92.025,TE MUDASTE,https://api.spotify.com/v1/tracks/5RubKOuDoPn5Kj5TLVxSxY,0.471,60fa0619214825fec63ff9a5
0.0774,Mi Banda El Mexicano,0.869,0.805,0,0.0686,0.0686,8,125.235,Ramito De Violetas,https://api.spotify.com/v1/tracks/6sRaqq9SYsSTPvrWkL1sRy,0.889,60fa061a214825fec63ff9a6
0.0469,Ed Sheeran,0.808,0.897,0.0000314,0.364,0.364,11,126.026,Bad Habits,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,0.591,60fa061a214825fec63ff9a7
0.579,Fuerza Regida,0.566,0.709,0,0.14,0.14,2,104.971,Que Esta Pasando,https://api.spotify.com/v1/tracks/26xQbFpVg8JCT5NKQFJXg8,0.775,60fa061a214825fec63ff9a8
0.11,Reik,0.762,0.797,0,0.412,0.412,6,81.994,Perfecta,https://api.spotify.com/v1/tracks/6VOb0Kkrd45Bp5RHYSla2J,0.787,60fa061a214825fec63ff9a9
0.169,Bad Bunny,0.86,0.791,0.000106,0.106,0.106,0,92.023,A Tu Merced,https://api.spotify.com/v1/tracks/4r9jkMEnArtWGH2rL2FZl0,0.887,60fa061a214825fec63ff9aa
0.176,Rauw Alejandro,0.823,0.537,0.00000375,0.124,0.124,8,175.965,Reloj,https://api.spotify.com/v1/tracks/4loQgPwJHocL3dFwLfjb1J,0.608,60fa061a214825fec63ff9ab
0.0231,Danny Ocean,0.744,0.804,0,0.0494,0.0494,1,104.823,Me Rehúso,https://api.spotify.com/v1/tracks/6ifUES3keWjwXgae8pXI3o,0.426,60fa061b214825fec63ff9ac
0.148,Luis Miguel,0.78,0.877,0.00000236,0.0627,0.0627,6,133.263,Ahora Te Puedes Marchar,https://api.spotify.com/v1/tracks/1uKjQoh8JZj9ryuYRhpd7E,0.909,60fa061b214825fec63ff9ad
0.0215,Selena Gomez,0.823,0.544,0.00315,0.0966,0.0966,5,149.903,Baila Conmigo (with Rauw Alejandro),https://api.spotify.com/v1/tracks/079Ey5uxL04AKPQgVQwx5h,0.664,60fa061b214825fec63ff9ae
0.382,Calibre 50,0.651,0.726,0,0.0535,0.0535,8,179.99,A La Antigüita,https://api.spotify.com/v1/tracks/798ahLNEcoFER7Vywg1FMT,0.963,60fa061b214825fec63ff9af
0.259,Piso 21,0.728,0.542,0,0.136,0.136,0,90.016,"Pa' Olvidarme De Ella",https://api.spotify.com/v1/tracks/3lR4O0vtkhCAvVEUEWUL0S,0.637,60fa061b214825fec63ff9b0
0.389,Natanael Cano,0.662,0.759,0,0.141,0.141,9,92.438,Diamantes,https://api.spotify.com/v1/tracks/0JDrG1g5HXbfgGtRKT0ofH,0.513,60fa061b214825fec63ff9b1
0.584,Olivia Rodrigo,0.442,0.612,0.0000057,0.37,0.37,2,180.917,deja vu,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,0.178,60fa061c214825fec63ff9b2
0.353,Grupo Firme,0.546,0.438,0,0.261,0.261,5,112.136,En Tu Perra Vida,https://api.spotify.com/v1/tracks/0ldT3gl7aGNzrJyd4b1CA4,0.568,60fa061c214825fec63ff9b3
0.672,Santa Fe Klan,0.684,0.58,0,0.135,0.135,4,89.954,Te Ire A Buscar,https://api.spotify.com/v1/tracks/3elpkpwYlmUbuvmVps08lJ,0.233,60fa061c214825fec63ff9b4
0.376,León Larregui,0.625,0.433,0.00103,0.248,0.248,9,93.041,Brillas,https://api.spotify.com/v1/tracks/6VuUMo1TusnqBxLTnr3hOI,0.274,60fa061c214825fec63ff9b5
0.354,Morat,0.484,0.58,0,0.374,0.374,11,160.138,Idiota,https://api.spotify.com/v1/tracks/0cS0bJ0oBylj3TFtz6x9pC,0.597,60fa061c214825fec63ff9b6
0.388,Christian Nodal,0.504,0.503,0,0.0608,0.0608,7,195.593,De Los Besos Que Te Di,https://api.spotify.com/v1/tracks/1qfoq1qvZT7VwDVeekCJ97,0.709,60fa061c214825fec63ff9b7
0.329,Danna Paola,0.715,0.793,0.0000571,0.256,0.256,11,95.011,MÍA,https://api.spotify.com/v1/tracks/2HWXhViZhTPJa10NgyrRRS,0.713,60fa061d214825fec63ff9b8
0.494,Tiago PZK,0.729,0.513,0.0000011,0.137,0.137,5,170.064,Entre Nosotros,https://api.spotify.com/v1/tracks/6w8yBI2vthyN9UnwO4UBWb,0.789,60fa061d214825fec63ff9b9
0.00536,J Balvin,0.571,0.693,0,0.173,0.173,6,168.169,UN DIA (ONE DAY) (Feat. Tainy),https://api.spotify.com/v1/tracks/0EhpEsp4L0oRGM0vmeaN5e,0.393,60fa061d214825fec63ff9ba
0.145,Jhay Cortez,0.806,0.786,0,0.0935,0.0935,10,91.973,No Me Conoce - Remix,https://api.spotify.com/v1/tracks/4R8BJggjosTswLxtkw8V7P,0.58,60fa061d214825fec63ff9bb
0.46,Luis Miguel,0.641,0.593,0,0.169,0.169,3,119.828,Hasta Que Me Olvides,https://api.spotify.com/v1/tracks/6vPAmoERUMRoTZaCCSWQ12,0.437,60fa061d214825fec63ff9bc
0.332,Natanael Cano,0.535,0.714,0.00000291,0.0806,0.0806,6,100.059,Amor Tumbado,https://api.spotify.com/v1/tracks/5aJ1M43pinROpwaPnO8KRj,0.458,60fa061e214825fec63ff9bd
0.0219,Daddy Yankee,0.83,0.623,0,0.0812,0.0812,6,101.036,SÚBELE EL VOLUMEN,https://api.spotify.com/v1/tracks/343HgC6SVFtTAgMPlGoNjn,0.614,60fa061e214825fec63ff9be
0.322,Christian Nodal,0.839,0.667,0,0.244,0.244,11,124.889,Dime Cómo Quieres,https://api.spotify.com/v1/tracks/4jcxBTrNvyqMJdMDyyjdYV,0.878,60fa061e214825fec63ff9bf
0.382,Carin Leon,0.669,0.476,0.00000985,0.21,0.21,9,143.826,Tú,https://api.spotify.com/v1/tracks/1nLs8r6K4YN0avBwUmmTnr,0.905,60fa061e214825fec63ff9c0
0.768,Olivia Rodrigo,0.561,0.431,0.0000142,0.106,0.106,10,143.875,drivers license,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,0.137,60fa061e214825fec63ff9c1
0.127,Camilo,0.871,0.815,0.00000618,0.094,0.094,4,122.959,KESI - Remix,https://api.spotify.com/v1/tracks/0IqCoZ168iRc9LqfrYgpZy,0.823,60fa061e214825fec63ff9c2
0.538,Los Plebes del Rancho de Ariel Camacho,0.525,0.505,0,0.101,0.101,7,179.968,2 Veces,https://api.spotify.com/v1/tracks/4cV6ld7uIs906zOwNscoBM,0.79,60fa061f214825fec63ff9c3
0.535,El Fantasma,0.575,0.374,0,0.178,0.178,8,79.124,Palabra de Hombre,https://api.spotify.com/v1/tracks/4CLkDJ4xLqkV4Vt2vPOny1,0.563,60fa061f214825fec63ff9c4
0.985,Kevin Kaarl,0.675,0.16,0.00688,0.164,0.164,0,69.754,Vámonos a Marte,https://api.spotify.com/v1/tracks/2TzkIzgzIHhewMxyh1u4hh,0.247,60fa061f214825fec63ff9c5
0.00165,Måneskin,0.75,0.608,0,0.178,0.178,1,132.507,I WANNA BE YOUR SLAVE,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,0.958,60fa061f214825fec63ff9c6
0.335,Eslabon Armado,0.681,0.664,0,0.0418,0.0418,6,102.166,Con Tus Besos,https://api.spotify.com/v1/tracks/6WYB1odDfMPVMyp1QxFInT,0.861,60fa061f214825fec63ff9c7
0.076,Sech,0.795,0.655,0.00000176,0.296,0.296,7,93.029,911,https://api.spotify.com/v1/tracks/2p2Q23iaaPSEa1tI6TsCVX,0.744,60fa0620214825fec63ff9c8
0.6,Bad Bunny,0.61,0.624,0.00000212,0.243,0.243,2,176.169,Callaita,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,0.244,60fa0620214825fec63ff9c9
0.0363,Bad Bunny,0.886,0.672,0.00000878,0.101,0.101,1,91.976,Vete,https://api.spotify.com/v1/tracks/2n7ohqg1s68ToAHh4u9mcW,0.526,60fa0620214825fec63ff9ca
0.269,Jay Wheeler,0.845,0.677,0.000917,0.108,0.108,11,90.013,La Curiosidad,https://api.spotify.com/v1/tracks/4HYDUMY0xSpeBr0AMY9cUz,0.68,60fa0620214825fec63ff9cb
0.0123,Dua Lipa,0.793,0.793,0,0.0951,0.0951,11,123.95,"Don't Start Now",https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,0.679,60fa0620214825fec63ff9cc
0.0626,Bad Bunny,0.672,0.594,0.0000514,0.152,0.152,1,171.854,Si Estuviésemos Juntos,https://api.spotify.com/v1/tracks/35wvL50xvKpCHEJPxLOLPI,0.158,60fa0620214825fec63ff9cd
0.0112,BTS,0.746,0.765,0,0.0936,0.0936,6,114.044,Dynamite,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,0.737,60fa0621214825fec63ff9ce
0.0803,La Factoria,0.774,0.91,0.000168,0.0908,0.0908,10,113.307,Todavia,https://api.spotify.com/v1/tracks/3D5uEBD0cAEGZGUo5j9045,0.65,60fa0621214825fec63ff9cf
0.27,Junior H,0.576,0.604,0,0.176,0.176,5,99.746,Mente Positiva,https://api.spotify.com/v1/tracks/3WQilym5Vi4ypxb70vx0eY,0.734,60fa0621214825fec63ff9d0
0.348,Calibre 50,0.764,0.585,0.00294,0.369,0.369,2,90.013,Si Te Pudiera Mentir,https://api.spotify.com/v1/tracks/3p6eieHX6oEOzJStPtEsLu,0.89,60fa0621214825fec63ff9d1
0.402,Bad Bunny,0.9,0.603,0.00000481,0.134,0.134,2,129.928,Si Veo a Tu Mamá,https://api.spotify.com/v1/tracks/41wtwzCZkXwpnakmwJ239F,0.824,60fa0621214825fec63ff9d2
0.557,Carin Leon,0.723,0.48,0,0.0705,0.0705,11,144.533,Me La Avente,https://api.spotify.com/v1/tracks/2QwMXe5zbqymDZGYsMDVqZ,0.909,60fa0622214825fec63ff9d3
0.414,Tiësto,0.798,0.62,0.0192,0.112,0.112,8,120.031,The Business,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,0.235,60fa0622214825fec63ff9d4
0.0212,The Weeknd,0.68,0.826,0.0000124,0.543,0.543,0,118.051,Save Your Tears,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,0.644,60fa0622214825fec63ff9d5
0.237,Luis Miguel,0.374,0.727,0,0.134,0.134,10,155.127,La Incondicional,https://api.spotify.com/v1/tracks/6F9yAYUaNbUhdlQyt5uZ3b,0.283,60fa0622214825fec63ff9d6
0.491,Alejandro Fernández,0.642,0.442,0.00000158,0.102,0.102,8,148.01,Me Dediqué a Perderte,https://api.spotify.com/v1/tracks/4NUt1fcnO9aQAELBgXq3Kr,0.465,60fa0622214825fec63ff9d7
0.0326,Bad Bunny,0.744,0.868,0,0.0822,0.0822,1,93.037,La Santa,https://api.spotify.com/v1/tracks/69vlMrzHwATKzupwNcUPyK,0.586,60fa0622214825fec63ff9d8
0.416,Los Dos Carnales,0.719,0.577,0,0.0972,0.0972,5,78.77,El Envidioso,https://api.spotify.com/v1/tracks/53PoPAD389bBE4ePYuT95g,0.861,60fa0623214825fec63ff9d9
0.0383,The Kid LAROI,0.591,0.764,0,0.103,0.103,1,169.928,Stay (with Justin Bieber),https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,0.478,60fa0623214825fec63ff9da
0.73,Camilo,0.724,0.443,0,0.101,0.101,7,97.194,La Mitad,https://api.spotify.com/v1/tracks/63Zaf8Rci6eOUPqDQ4fUFx,0.763,60fa0623214825fec63ff9db
0.39,Rochy RD,0.585,0.611,0,0.649,0.649,6,97.041,Ella No Es Tuya - Remix,https://api.spotify.com/v1/tracks/5YYW3yRktprLRr47WK219Y,0.962,60fa0623214825fec63ff9dc
0.256,Becky G,0.93,0.837,0.00000237,0.239,0.239,7,111.898,Fulanito,https://api.spotify.com/v1/tracks/59L8x0xy8njj75vzVCPMqg,0.821,60fa0623214825fec63ff9dd
0.329,Natanael Cano,0.73,0.702,0,0.119,0.119,10,102.304,El Drip,https://api.spotify.com/v1/tracks/5NCBP3ivrIDcHEtzHSW3k0,0.868,60fa0624214825fec63ff9de
0.368,Christian Nodal,0.65,0.558,0,0.303,0.303,0,141.82,Se Me Olvidó,https://api.spotify.com/v1/tracks/7paFC3FEu1WtPVP4Do6VZN,0.725,60fa0624214825fec63ff9df
0.691,Olivia Rodrigo,0.38,0.339,0,0.12,0.12,3,100.607,traitor,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,0.0849,60fa0624214825fec63ff9e0
0.0847,Sebastian Yatra,0.574,0.891,0,0.16,0.16,0,100.978,Chica Ideal,https://api.spotify.com/v1/tracks/21N4Buj4xsyLb218lYle61,0.707,60fa0624214825fec63ff9e1
0.122,Harry Styles,0.548,0.816,0,0.335,0.335,0,95.39,Watermelon Sugar,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,0.557,60fa0624214825fec63ff9e2
0.0337,Sech,0.793,0.771,0.00000151,0.284,0.284,5,171.943,Relación - Remix,https://api.spotify.com/v1/tracks/35UUpTmrcFXNIVIN26ujXl,0.835,60fa0625214825fec63ff9e3
