,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Grandes Ligas","Lupillo Rivera",162176,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
58,"Ma Vie (feat. Yay)","Kidd Keo",161531,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
59,"Leave The Door Open","Bruno Mars",160920,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
60,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",159645,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
61,"TE MUDASTE","Bad Bunny",157212,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
62,"Ramito De Violetas","Mi Banda El Mexicano",156668,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
63,"Bad Habits","Ed Sheeran",156035,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
64,"Que Esta Pasando","Fuerza Regida",155861,https://open.spotify.com/track/26xQbFpVg8JCT5NKQFJXg8
65,Perfecta,Reik,154684,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
66,"A Tu Merced","Bad Bunny",153820,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
67,Reloj,"Rauw Alejandro",151806,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
68,"Me Rehúso","Danny Ocean",151298,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
69,"Ahora Te Puedes Marchar","Luis Miguel",150742,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
70,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",150544,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
71,"A La Antigüita","Calibre 50",149874,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
72,"Pa' Olvidarme De Ella","Piso 21",147376,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
73,Diamantes,"Natanael Cano",144679,https://open.spotify.com/track/0JDrG1g5HXbfgGtRKT0ofH
