,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Seven Nation Army",Gaullin,98222,https://open.spotify.com/track/4SCbD68sf3dBfaE2X8uDSP
56,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",97228,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
57,"Goosebumps - Remix","Travis Scott",96906,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
58,"FALLEN ANGELS (feat. slowthai)",Laylow,96882,https://open.spotify.com/track/1RO9EcqWGzZIY5Z5LYjP2R
59,"Mode Akimbo (feat. Jul)",SCH,96817,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
60,"Ça Va Pas Être Possible...",Laylow,95750,https://open.spotify.com/track/4zj8DE8qnT2uBpnFABjwkk
61,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",93905,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
62,"I WANNA BE YOUR SLAVE",Måneskin,91711,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
63,"Tu Veux Déjà Me Dire Aurevoir ?",Laylow,89652,https://open.spotify.com/track/6d7BzQtjmiHAIrZ43b4Hwa
64,Rasputin,Majestic,89147,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
65,"Le billet",ISK,88991,https://open.spotify.com/track/731JjfIII1qYfeatc3zhtU
66,Manège,"Djadja & Dinaz",88566,https://open.spotify.com/track/0JyX9jNf4mUdp1eNUVAqyR
67,Millions,"No Limit",88490,https://open.spotify.com/track/70jyIxNr3R5k3bofVYX9GS
68,"Wasted Love (feat. Lagique)",Ofenbach,87868,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
69,"Stay (with Justin Bieber)","The Kid LAROI",87079,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
70,"Bonsoir Mon Vieil Ami",Laylow,86973,https://open.spotify.com/track/1SD6wA55Ok0E7I8EIofMXc
