,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,telepatía,"Kali Uchis",363768,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
55,"Good Days",SZA,356460,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
56,"my ex's best friend (with blackbear)","Machine Gun Kelly",349025,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
57,"Martin & Gina","Polo G",348412,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
58,"Mood (feat. iann dior)",24kGoldn,347456,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
59,"Bezos I","Bo Burnham",344903,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
60,"WITHOUT YOU","The Kid LAROI",339594,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
61,"Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke",337916,https://open.spotify.com/track/2UwALqx6yOsXTFt7zRxnts
62,Circles,"Post Malone",336789,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,"Forever After All","Luke Combs",334047,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
64,DÁKITI,"Bad Bunny",333730,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
65,Streets,"Doja Cat",333240,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
66,"Watermelon Sugar","Harry Styles",331428,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
67,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",329113,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
68,"Hats Off (feat. Travis Scott)","Lil Baby",324034,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
69,"Best Friend (feat. Doja Cat)",Saweetie,322142,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
70,"1 step forward, 3 steps back","Olivia Rodrigo",319778,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
71,"m y . l i f e (with 21 Savage & Morray)","J. Cole",318068,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
72,"Lil Bit",Nelly,315030,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
73,"Solid (feat. Drake)","Young Stoner Life",312638,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
74,"Build a Bitch","Bella Poarch",311847,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
75,"Calling My Phone","Lil Tjay",308807,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
76,"Demeanor (feat. Dua Lipa)","Pop Smoke",307432,https://open.spotify.com/track/3DMs7bahbQTnoxCjgP7qoK
77,"WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix",BIA,306750,https://open.spotify.com/track/67G6iaOw8DZqp1z8STR89R
78,"Shot in the Dark","John Mayer",306546,https://open.spotify.com/track/239yM7BAQ2CkNc61ogPGXo
79,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",303031,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
80,"No Role Modelz","J. Cole",302238,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
81,Coupe,"Pop Smoke",301865,https://open.spotify.com/track/4wNKxMbE3n1gRm4F6OaCP1
82,"All Girls Are The Same","Juice WRLD",300249,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
83,"AM Remix","Nio Garcia",299080,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
84,"Never Left","Lil Tecca",298450,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
85,"Wishing Well","Juice WRLD",295643,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
86,"Welcome to the Internet","Bo Burnham",294792,https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
87,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",292096,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
88,"Lucid Dreams","Juice WRLD",291499,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
89,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",289741,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
90,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",281425,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
91,"What You Know Bout Love","Pop Smoke",279538,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
92,"Qué Más Pues?","J Balvin",279480,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
93,"Come & Go (with Marshmello)","Juice WRLD",278334,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
94,"All Eyes On Me","Bo Burnham",277400,https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
95,"Dreams - 2004 Remaster","Fleetwood Mac",276488,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
