Song,Artist,Date,Streams,Rank
Welcome to the Internet,Bo Burnham,2021-07-10,"325,169",81
Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk",2021-07-10,"323,667",82
Calling My Phone,"Lil Tjay, 6LACK",2021-07-10,"323,311",83
Dreams - 2004 Remaster,Fleetwood Mac,2021-07-10,"319,473",84
Ramen & OJ,"Joyner Lucas, Lil Baby",2021-07-10,"317,151",85
No Role Modelz,J. Cole,2021-07-10,"310,893",86
Never Left,Lil Tecca,2021-07-10,"310,881",87
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,2021-07-10,"306,472",88
2055,Sleepy Hallow,2021-07-10,"305,567",89
ARE YOU WITH THAT?,Vince Staples,2021-07-10,"303,584",90
All Girls Are The Same,Juice WRLD,2021-07-10,"298,023",91
4 Da Gang (with Roddy Ricch),42 Dugg,2021-07-10,"297,795",92
ROCKSTAR (feat. Roddy Ricch),DaBaby,2021-07-10,"297,775",93
Bezos I,Bo Burnham,2021-07-10,"297,572",94
I Don't Do Drugs (feat. Ariana Grande),Doja Cat,2021-07-10,"297,192",95
The Spins,Mac Miller,2021-07-10,"295,947",96
Laugh Now Cry Later (feat. Lil Durk),Drake,2021-07-10,"295,198",97
Get Into It (Yuh),Doja Cat,2021-07-10,"292,026",98
WAP (feat. Megan Thee Stallion),Cardi B,2021-07-10,"290,833",99
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2021-07-10,"290,307",100
Lucid Dreams,Juice WRLD,2021-07-10,"289,594",101
hope ur ok,Olivia Rodrigo,2021-07-10,"287,770",102
Wishing Well,Juice WRLD,2021-07-10,"287,056",103
Famous Friends,"Chris Young, Kane Brown",2021-07-10,"286,445",104
Mr. Brightside,The Killers,2021-07-10,"286,014",105
Dynamite,BTS,2021-07-10,"283,480",106
Having Our Way (feat. Drake),Migos,2021-07-10,"282,599",107
What’s Next,Drake,2021-07-10,"279,370",108
Save Your Tears,The Weeknd,2021-07-10,"279,063",109
Goosebumps - Remix,"Travis Scott, HVME",2021-07-10,"276,983",110
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,2021-07-10,"276,242",111
Come & Go (with Marshmello),Juice WRLD,2021-07-10,"276,058",112
Chasing After You (with Maren Morris),Ryan Hurd,2021-07-10,"275,001",113
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,2021-07-10,"273,862",114
Straightenin,Migos,2021-07-10,"272,187",115
Lost Cause,Billie Eilish,2021-07-10,"272,072",116
Back In Blood (feat. Lil Durk),Pooh Shiesty,2021-07-10,"269,667",117
Whiskey Glasses,Morgan Wallen,2021-07-10,"268,215",118
What You Know Bout Love,Pop Smoke,2021-07-10,"267,928",119
A-O-K,Tai Verdes,2021-07-10,"267,799",120
The Box,Roddy Ricch,2021-07-10,"259,956",121
No Return (with The Kid LAROI & Lil Durk),Polo G,2021-07-10,"259,879",122
Don't Start Now,Dua Lipa,2021-07-10,"259,296",123
LUMBERJACK,"Tyler, The Creator",2021-07-10,"258,292",124
Blueberry Faygo,Lil Mosey,2021-07-10,"255,929",125
Pain,PinkPantheress,2021-07-10,"255,601",126
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",2021-07-10,"255,000",127
Daddy Issues,The Neighbourhood,2021-07-10,"252,760",128
Electric Love,BØRNS,2021-07-10,"251,776",129
Robbery,Juice WRLD,2021-07-10,"251,564",130
Ski,"Young Stoner Life, Young Thug, Gunna",2021-07-10,"251,154",131
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",2021-07-10,"248,722",132
Reckless,Madison Beer,2021-07-10,"248,707",133
Don't Stop Believin',Journey,2021-07-10,"248,629",134
Tennessee Whiskey,Chris Stapleton,2021-07-10,"248,449",135
Chicken Fried,Zac Brown Band,2021-07-10,"247,613",136
20 Min,Lil Uzi Vert,2021-07-10,"247,472",137
goosebumps,Travis Scott,2021-07-10,"246,351",138
Modern Day,Migos,2021-07-10,"245,194",139
Drunk (And I Don't Wanna Go Home),"Elle King, Miranda Lambert",2021-07-10,"245,142",140
